text,label
मला तुमचा स्वभाव आवडला नाही,negative
हा अनुभव नकारात्मक होता,negative
ही सेवा अविश्वसनीय आहे,negative
मला तुमची प्रस्तुती आवडली नाही,negative
हा चित्रपट कंटाळवाणा होता,negative
ही सुविधा निरुपयोगी आहे,negative
मला येथे भीती वाटली,negative
हा उपक्रम फसला,negative
माझी निवड चुकीची झाली,negative
ही संकल्पना चुकीची आहे,negative
मला तुमचे मार्गदर्शन पटले नाही,negative
हा परिणाम अयोग्य आहे,negative
ही योजना अयशस्वी आहे,negative
मला खूप दुःख झाले,negative
हा मोबाईल वापरण्यास कठीण आहे,negative
ही सेवा खूप संथ आहे,negative
माझा दिवस खराब गेला,negative
हा अनुभव वेदनादायक होता,negative
मला तुमचा प्रयत्न निराशाजनक वाटला,negative
ही जागा असुरक्षित आहे,negative
हा कार्यक्रम भयानक होता,negative
मला तुमचे समर्थन मिळाले नाही,negative
ही कल्पना चुकीची आहे,negative
हा परिणाम वाईट आहे,negative
मला येथे त्रास झाला,negative
ही सेवा खराब आहे,negative
हा निर्णय चुकीचा ठरला,negative
मला तुमची मदत नको होती,negative
हा उपक्रम अपयशी आहे,negative
ही सुविधा कालबाह्य आहे,negative
माझा अनुभव नकारात्मक होता,negative
हा प्रोजेक्ट पूर्णपणे फसला,negative
मला हे उत्पादन आवडले नाही,negative
ही योजना निष्फळ आहे,negative
मला तुमची शैली आवडली नाही,negative
हा परिणाम निराशाजनक आहे,negative
ही सेवा असमाधानकारक आहे,negative
मला येथे वाईट वाटले,negative
हा दिवस तणावपूर्ण होता,negative
ही संधी निरर्थक आहे,negative
मला तुमचे काम आवडले नाही,negative
हा अनुभव अप्रिय होता,negative
ही कल्पना अपयशी आहे,negative
मला येथे त्रासदायक वाटले,negative
ही सेवा विस्कळीत आहे,negative
हा निर्णय अयोग्य आहे,negative
मला तुमचा सल्ला आवडला नाही,negative
हा उपक्रम अपुरा आहे,negative
ही जागा धोकादायक आहे,negative
माझा दिवस दुःखी गेला,negative
हा परिणाम चुकीचा आहे,negative
मला तुमची मदत नको होती,negative
ही सेवा निकृष्ट दर्जाची आहे,negative
हा कार्यक्रम वाईट होता,negative
मला हे अजिबात आवडले नाही,negative
ही सुविधा अयोग्य आहे,negative
हा अनुभव असमाधानकारक होता,negative
मला तुमचा पाठिंबा मिळाला नाही,negative
ही योजना अपुरी आहे,negative
हा परिणाम निराशाजनक आहे,negative
मला येथे अस्वस्थ वाटले,negative
हा मोबाईल खूप छान आहे,positive
मला ही सेवा आवडली,positive
हा अनुभव खूप आनंददायी होता,positive
माझा आजचा दिवस खूप चांगला गेला,positive
ही जागा खूप सुंदर आहे,positive
त्यांचे काम उत्कृष्ट आहे,positive
मला तुमचा प्रयत्न खूप आवडला,positive
हा निर्णय योग्य आहे,positive
ही कल्पना खूप छान आहे,positive
मला खूप समाधान मिळाले,positive
हा प्रोजेक्ट अप्रतिम झाला,positive
तुमचे मार्गदर्शन उपयुक्त आहे,positive
हा कार्यक्रम खूप यशस्वी झाला,positive
माझ्या अपेक्षेपेक्षा चांगले होते,positive
सेवा खूप वेगवान होती,positive
हा कोर्स खूप माहितीपूर्ण आहे,positive
मला तुमचा दृष्टिकोन आवडला,positive
हे उत्पादन दर्जेदार आहे,positive
मला येथे खूप आनंद झाला,positive
हा उपक्रम खूप स्तुत्य आहे,positive
माझा अनुभव समाधानकारक होता,positive
ही सुविधा खूप चांगली आहे,positive
तुमची मदत अमूल्य आहे,positive
हा दिवस खास होता,positive
मला हे ठिकाण खूप आवडले,positive
सेवा उत्कृष्ट होती,positive
हा चित्रपट अप्रतिम होता,positive
हा खेळ खूप रोमांचक होता,positive
हा निर्णय खूप चांगला आहे,positive
मला तुमचा स्वभाव आवडला,positive
ही योजना फायदेशीर आहे,positive
हा अनुभव लक्षात राहणारा होता,positive
मला खूप प्रेरणा मिळाली,positive
हे खूप प्रभावी आहे,positive
हा प्रयत्न कौतुकास्पद आहे,positive
ही कल्पना अभिनव आहे,positive
मला येथे सुरक्षित वाटले,positive
हा परिणाम समाधानकारक आहे,positive
ही सेवा विश्वासार्ह आहे,positive
मला तुमची टीम आवडली,positive


हा मोबाईल खूप खराब आहे,negative
मला ही सेवा अजिबात आवडली नाही,negative
हा अनुभव त्रासदायक होता,negative
माझा दिवस खूप वाईट गेला,negative
ही जागा अस्वच्छ आहे,negative
त्यांचे काम निकृष्ट आहे,negative
मला तुमचा प्रयत्न निराशाजनक वाटला,negative
हा निर्णय चुकीचा आहे,negative
ही कल्पना निरर्थक आहे,negative
मला खूप राग आला,negative
हा प्रोजेक्ट अपयशी ठरला,negative
तुमचे मार्गदर्शन गोंधळात टाकणारे आहे,negative
हा कार्यक्रम पूर्णपणे फसला,negative
माझ्या अपेक्षेपेक्षा खूप वाईट होते,negative
सेवा खूप संथ होती,negative
हा कोर्स निरुपयोगी आहे,negative
मला तुमचा दृष्टिकोन पटला नाही,negative
हे उत्पादन निकृष्ट दर्जाचे आहे,negative
मला येथे खूप अस्वस्थ वाटले,negative
हा उपक्रम अयशस्वी झाला,negative
माझा अनुभव अत्यंत वाईट होता,negative
ही सुविधा निकृष्ट आहे,negative
तुमची मदत उपयोगाची नव्हती,negative
हा दिवस निराशाजनक होता,negative
मला हे ठिकाण आवडले नाही,negative
सेवा भयानक होती,negative
हा चित्रपट कंटाळवाणा होता,negative
हा खेळ फारच खराब होता,negative
हा निर्णय घातक आहे,negative
मला तुमचा स्वभाव आवडला नाही,negative
ही योजना तोट्याची आहे,negative
हा अनुभव त्रासदायक होता,negative
मला खूप निराशा झाली,negative
हे पूर्णपणे चुकीचे आहे,negative
हा प्रयत्न अयशस्वी झाला,negative
ही कल्पना अयोग्य आहे,negative
मला येथे असुरक्षित वाटले,negative
हा परिणाम निराशाजनक आहे,negative
ही सेवा अविश्वसनीय आहे,negative
मला तुमची टीम आवडली नाही,negative
